"id","jurisdiction_id","full_name","level","short_name"
"C0201020","J0201","U.S. Circuit Court for the District of Middle Alabama","FA","U.S. Circuit Court for the District of Middle Alabama"
"C0201021","J0201","District Court, D. Alabama","FD","D. Alabama"
"C0201022","J0201","Morgan County Probate Court","ST","Morgan County Probate Court"
"C0201023","J0201","U.S. Circuit Court for the District of Alabama","FA","U.S. Circuit Court for the District of Alabama"
"C0201024","J0201","Perry County Probate Court","ST","Perry County Probate Court"
"C0201025","J0201","Morgan Circuit Court","ST","Morgan Circuit Court"
"C0201026","J0201","Madison County Probate Court","ST","Madison County Probate Court"
"C0201027","J0201","Jacksonville Civil Service Board","SS","Jacksonville Civil Service Board"
"C0201028","J0201","Jefferson County Probate Court","ST","Jefferson County Probate Court"
"C0202001","J0202","Alaska Supreme Court","S","Alaska Supreme Court"
"C0202002","J0202","Court of Appeals of Alaska","SA","Court of Appeals of Alaska"
"C0202003","J0202","District Court, D. Alaska","FD","D. Alaska"
"C0202004","J0202","United States Bankruptcy Court, D. Alaska","FB","D. Alaska"
"C0203001","J0203","Navajo Nation Supreme Court","TRS","Navajo Nation Supreme Court"
"C0203002","J0203","District Court, D. Arizona","FD","D. Arizona"
"C0203003","J0203","Court of Appeals of Arizona","SA","Court of Appeals of Arizona"
"C0203004","J0203","United States Bankruptcy Court, D. Arizona","FB","D. Arizona"
"C0203005","J0203","Arizona Supreme Court","S","Arizona Supreme Court"
"C0203006","J0203","Hopi Appellate Court","TRA","Hopi Appellate Court"
"C0203007","J0203","Arcadia Justice Court","ST","Arcadia Justice Court"
"C0203008","J0203","Arizona Tax Court","SS","Arizona Tax Court"
"C0203009","J0203","Navajo Nation Court of Appeals","TRA","Navajo Nation Ct. App."
"C0203010","J0203","Fort McDowell Yavapai Nation Tribal Court of Appeals","TRA","Fort McDowell Yavapai Nation Tribal Court of Appeals"
"C0203011","J0203","Navajo Nation Family Court","TRX","Navajo Nation Family Court"
"C0203012","J0203","Fort McDowell Supreme Court","TRS","Fort McDowell Supreme Court"
"C0203013","J0203","Navajo Nation Children's Court","TRX","Navajo Nation Children's Court"
"C0203014","J0203","Monroe Justice Court","ST","Monroe Justice Court"
"C0204001","J0204","District Court, E.D. Arkansas","FD","E.D. Arkansas"
"C0204002","J0204","District Court, W.D. Arkansas","FD","W.D. Arkansas"
"C0204003","J0204","Supreme Court of Arkansas","S","Supreme Court of Arkansas"
"C0204004","J0204","Court of Appeals of Arkansas","SA","Court of Appeals of Arkansas"
"C0204005","J0204","United States District Court for the District of Arkansas","FD","United States District Court for the District of Arkansas"
"C0204006","J0204","U.S. Circuit Court for the District of Eastern Arkansas","FA","U.S. Circuit Court for the District of Eastern Arkansas"
"C0204007","J0204","U.S. Circuit Court for the District of Arkansas","FA","U.S. Circuit Court for the District of Arkansas"
"C0204008","J0204","U.S. Circuit Court for the District of Western Arkansas","FA","U.S. Circuit Court for the District of Western Arkansas"
"C0204009","J0204","United States Bankruptcy Court, W.D. Arkansas","FB","W.D. Arkansas"
"C0204010","J0204","United States Bankruptcy Court, E.D. Arkansas","FB","E.D. Arkansas"
"C0204011","J0204","Arkansas Attorney General Reports","SAG","Arkansas Attorney General Reports"
"C0204012","J0204","Pulaski County Circuit Court","ST","Pulaski County Circuit Court"
"C0204013","J0204","Carroll County Circuit Court","ST","Carroll County Circuit Court"
"C0205001","J0205","District Court, N.D. California","FD","N.D. California"
"C0205002","J0205","District Court, E.D. California","FD","E.D. California"
"C0205003","J0205","District Court, C.D. California","FD","C.D. California"
"C0205004","J0205","Appellate Division of the Superior Court of California","SA","Appellate Division of the Superior Court of California"
"C0205005","J0205","District Court, D. California","FD","D. California"
"C0205006","J0205","California Supreme Court","S","California Supreme Court"
"C0205007","J0205","United States Bankruptcy Court, C.D. California","FB","C.D. California"
"C0205008","J0205","California Court of Appeal, 5th District","SA","California Court of Appeal, 5th District"
"C0205009","J0205","District Court, S.D. California","FD","S.D. California"
"C0205010","J0205","U.S. Circuit Court for the District of Northern California","FA","U.S. Circuit Court for the District of Northern California"
"C0205011","J0205","California Court of Appeal","SA","California Court of Appeal"
"C0205012","J0205","United States Bankruptcy Court, S.D. California","FB","S.D. California"
"C0205013","J0205","California Attorney General Reports","SAG","California Attorney General Reports"
"C0205014","J0205","Orange County Court","ST","Orange County Court"
"C0205015","J0205","California Superior Court","ST","California Superior Court"
"C0205016","J0205","California District Court","ST","Cal. District Court"
"C0205017","J0205","United States Bankruptcy Court, E.D. California","FB","E.D. California"
"C0205018","J0205","United States Bankruptcy Court, N.D. California","FB","N.D. California"
"C0205019","J0205","California Court of Appeal, 4th District","SA","California Court of Appeal, 4th District"
"C0205020","J0205","Superior Court of California, County of San Francisco","ST","California Superior Court, San Francisco County"
"C0205021","J0205","California Court of Appeal, 2nd District","SA","California Court of Appeal, 2nd District"
"C0205022","J0205","State of California Commission On Judicial Performance","C","State of California Commission On Judicial Performance"
"C0205023","J0205","Yuba District Court","ST","Yuba District Court"
"C0205024","J0205","San Fransisco District Court","ST","San Fran. Dist Ct"
"C0205025","J0205","Sacramento District Court","ST","Sacramento District Court"
"C0205026","J0205","Orange County Judge's Court","ST","Orange County Judge's Court"
"C0205027","J0205","Monterey District Court","ST","Monterey District Court"
"C0205028","J0205","California Court of Appeal, 3rd District","SA","California Court of Appeal, 3rd District"
"C0205029","J0205","California Court of Appeal, 1st District","SA","California Court of Appeal, 1st District"
"C0205030","J0205","Yreka District Court","ST","Yreka District Court"
"C0205031","J0205","California Court of Appeal, 6th District","SA","California Court of Appeal, 6th District"
"C0205032","J0205","Trinity District Court","ST","Trinity District Court"
"C0205033","J0205","Shasta District Court","ST","Shasta District Court"
"C0205034","J0205","Placer District Court, California","ST","Placer District Court"
"C0205035","J0205","Santa Cruz District Court","ST","Santa Cruz District Court"
"C0205036","J0205","Fremont Municipal Court","ST","Fremont Municipal Court"
"C0206001","J0206","District Court, D. Colorado","FD","D. Colorado"
"C0206002","J0206","Supreme Court of Colorado","S","Supreme Court of Colorado"
"C0206003","J0206","Colorado Court of Appeals","SA","Colorado Court of Appeals"
"C0206004","J0206","United States Bankruptcy Court, D. Colorado","FB","D. Colorado"
"C0206005","J0206","Colorado Attorney General Reports","SAG","Colorado Attorney General Reports"
"C0206006","J0206","U.S. Circuit Court for the District of Colorado","FA","U.S. Circuit Court for the District of Colorado"
"C0206007","J0206","Pueblo County District Court","ST","Pueblo County District Court"
"C0206008","J0206","Lakewood Municipal Court","ST","Lakewood Municipal Court"
"C0206009","J0206","Arapahoe County District Court","ST","Arapahoe County District Court"
"C0206010","J0206","Bent County District Court","ST","Bent County District Court"
"C0206011","J0206","Denver Superior Court","ST","Denver Superior Court"
"C0206012","J0206","Garfield County District Court","ST","Garfield County District Court"
"C0206013","J0206","Teller County District Court","ST","Teller County District Court"
"C0206014","J0206","Larimer County District Court","ST","Larimer County District Court"
"C0206015","J0206","Pitkin County District Court","ST","Pitkin County District Court"
"C0207001","J0207","District Court, D. Connecticut","FD","D. Connecticut"
"C0207002","J0207","Connecticut Superior Court","SA","Connecticut Superior Court"
"C0207003","J0207","Supreme Court of Connecticut","S","Supreme Court of Connecticut"
"C0207004","J0207","Connecticut Appellate Court","SA","Connecticut Appellate Court"
"C0207005","J0207","United States Bankruptcy Court, D. Connecticut","FB","D. Connecticut"
"C0207006","J0207","U.S. Circuit Court for the District of Connecticut","FA","U.S. Circuit Court for the District of Connecticut"
"C0207007","J0207","Mohegan Gaming Disputes Trial Court","TRX","Mohegan Gaming Disputes Trial Court"
"C0207008","J0207","Mohegan Trial Court","TRT","Mohegan Trial Court"
"C0207009","J0207","Fairfield Circuit Court","ST","Fairfield Circuit Court"
"C0207010","J0207","Mohegan Gaming Disputes Court of Appeals","TRA","Mohegan Gaming Disputes Court of Appeals"
"C0207011","J0207","Fairfield County Probate Court","ST","Fairfield County Probate Court"
"C0207012","J0207","Mohegan Tribal Court of Appeals","TRA","Mohegan Tribal Court of Appeals"
"C0207013","J0207","Council of Elders of the Mohegan Tribe","TRX","Council of Elders of the Mohegan Tribe"
"C0208001","J0208","District Court, D. Delaware","FD","D. Delaware"
"C0208002","J0208","Supreme Court of Delaware","S","Supreme Court of Delaware"
"C0208003","J0208","Orphan's Court of Delaware","SA","Delaware Orphan's Court"
"C0208004","J0208","Court of Chancery of Delaware","SA","Court of Chancery of Delaware"
"C0208005","J0208","Delaware Court of Oyer and Terminer","ST","Delaware Court of Oyer and Terminer"
"C0208006","J0208","United States Bankruptcy Court, D. Delaware","FB","D. Delaware"
"C0208007","J0208","Delaware Circuit Court","ST","Delaware Circuit Court"
"C0208008","J0208","Superior Court of Delaware","SA","Superior Court of Delaware"
"C0208009","J0208","Court on the Judiciary of Delaware.","SS","Court on the Judiciary of Delaware"
"C0208010","J0208","Delaware Court of Common Pleas","SS","Delaware Court of Common Pleas"
"C0208011","J0208","Delaware Family Court","SS","Delaware Family Court"
"C0208012","J0208","Sussex County Superior Court","ST","Sussex County Superior Court"
"C0208013","J0208","Court of General Sessions of The Peace And Jail Delivery of Delaware","ST","Court of General Sessions of Delaware"
"C0209001","J0209","District Court, S.D. Florida","FD","S.D. Florida"
"C0209002","J0209","Supreme Court of Florida","S","Supreme Court of Florida"
"C0209003","J0209","District Court of Appeal of Florida","SA","District Court of Appeal of Florida"
"C0209004","J0209","United States Bankruptcy Court, S.D. Florida.","FB","S.D. Florida"
"C0209005","J0209","United States Bankruptcy Court, M.D. Florida","FB","M.D. Florida"
"C0209006","J0209","District Court, N.D. Florida","FD","N.D. Florida"
"C0209007","J0209","Florida Third District Court of Appeal","SA","Florida Third District Court of Appeal"
"C0209008","J0209","United States Bankruptcy Court, N.D. Florida","FB","N.D. Florida"
"C0209009","J0209","Florida Attorney General Reports","SAG","Florida Attorney General Reports"
"C0209010","J0209","Circuit Court of the 11th Judicial Circuit of Florida, Miami-Dade County","ST","Miami-Dade County Circuit Court"
"C0209011","J0209","Palm Beach County Judge's Court","ST","Palm Beach County Judge's Court"
"C0209012","J0209","Palm Beach County Juvenile and Domestic Relations Court","ST","Palm Beach County Juvenile and Domestic Relations Court"
"C0209013","J0209","Circuit Court for the Judicial Circuits of Florida","ST","Florida Circuit Courts"
"C0209014","J0209","Broward County Court","ST","Broward County Court"
"C0209015","J0209","Volusia County Court","ST","Volusia County Court"
"C0209016","J0209","Florida Public Service Commission","SS","Florida Public Service Commission"
"C0209017","J0209","State of Florida Division of Administrative Hearings","SS","State of Florida Division of Administrative Hearings"
"C0209018","J0209","District Court, D. Florida","FD","D. Florida"
"C0209019","J0209","Circuit Court of the 15th Judicial Circuit of Florida, Palm Beach County","ST","Palm Beach County Circuit Court"
"C0209020","J0209","Circuit Court of the 4th Judicial Circuit of Florida, Duval County","ST","Duval County Circuit Court"
"C0209021","J0209","Circuit Court of the 2nd Judicial Circuit of Florida, Leon County","ST","Leon County Circuit Court"
"C0209022","J0209","Circuit Court of the 9th Judicial Circuit of Florida, Orange County","ST","Orange County Circuit Court"
"C0209023","J0209","Circuit Court of the 14th Judicial Circuit of Florida, Bay County","ST","Bay County Circuit Court"
"C0209024","J0209","Florida First District Court of Appeal","SA","Florida First District Court of Appeal"
"C0209025","J0209","Circuit Court of the 13th Judicial Circuit of Florida, Hillsborough County","ST","Hillsborough County Circuit Court"
"C0209026","J0209","Circuit Court of the 4th Judicial Circuit of Florida, Nassau County","ST","Nassau County Circuit Court"
"C0209027","J0209","Florida Second District Court of Appeal","SA","Florida Second District Court of Appeal"
"C0209028","J0209","Florida Fifth District Court of Appeal","SA","Florida Fifth District Court of Appeal"
"C0209029","J0209","Dade County Judge's Court","ST","Dade County Judge's Court"
"C0209030","J0209","Circuit Court of the 18th Judicial Circuit of Florida, Brevard County","ST","Brevard County Circuit Court"
"C0209031","J0209","Circuit Court of the 6th Judicial Circuit of Florida, Pasco County","ST","Pasco County Circuit Court"
"C0209032","J0209","Palm Beach County Court","ST","Palm Beach County Court"
"C0209033","J0209","Florida Industrial Commission","SS","Florida Industrial Commission"
"C0209034","J0209","Circuit Court of the 19th Judicial Circuit of Florida, Indian River County","ST","Indian River County Circuit Court"
"C0209035","J0209","Brevard County Civil and Criminal Court of Record","ST","Brevard County Court of Record"
"C0209036","J0209","Circuit Court of the 16th Judicial Circuit of Florida, Monroe County","ST","Monroe County Circuit Court"
"C0209037","J0209","Hillsborough County Court","ST","Hillsborough County Court"
"C0209038","J0209","Florida Real Estate Commission","SS","Florida Real Estate Commission"
"C0209039","J0209","Dade County Small Claims Court","ST","Dade County Small Claims Court"
"C0209040","J0209","Pinellas County Court","ST","Pinellas County Court"
"C0209041","J0209","Circuit Court of the 19th Judicial Circuit of Florida, St. Lucie County","ST","St. Lucie County Circuit Court"
"C0209042","J0209","Circuit Court of the 7th Judicial Circuit of Florida, Volusia County","ST","Volusia County Circuit Court"
"C0209043","J0209","Circuit Court of the 17th Judicial Circuit of Florida, Broward County","ST","Broward County Circuit Court"
"C0209044","J0209","Circuit Court of the 5th Judicial Circuit of Florida, Lake County","ST","Lake County Circuit Court"
"C0209045","J0209","Pinellas County Civil and Criminal Court of Record","ST","Pinellas County Court of Record"
"C0209046","J0209","Lee County Court","ST","Lee County Court"
"C0209047","J0209","Circuit Court of the 1st Judicial Circuit of Florida, Santa Rosa County","ST","Santa Rosa County Circuit Court"
"C0209048","J0209","Circuit Court of the 5th Judicial Circuit of Florida, Marion County","ST","Marion County Circuit Court"
"C0209049","J0209","Florida County Courts","ST","Florida County Courts"
"C0209050","J0209","Circuit Court of the 1st Judicial Circuit of Florida, Okaloosa County","ST","Okaloosa County Circuit Court"
"C0209051","J0209","Suwannee County Judge's Court","ST","Suwannee County Judge's Court"
"C0209052","J0209","Miami-Dade County Court","ST","Miami-Dade County Court"
"C0209053","J0209","Okaloosa County Court","ST","Okaloosa County Court"
"C0209054","J0209","Dade County Civil and Criminal Court of Record","ST","Dade County Court of Record"
"C0209055","J0209","Florida Fourth District Court of Appeal","SA","Florida Fourth District Court of Appeal"
"C0209056","J0209","Circuit Court of the 1st Judicial Circuit of Florida, Escambia County","ST","Escambia County Circuit Court"
"C0209057","J0209","Circuit Court of the 18th Judicial Circuit of Florida, Seminole County","ST","Seminole County Circuit Court"
"C0209058","J0209","Circuit Court of the 6th Judicial Circuit of Florida, Pinellas County","ST","Pinellas County Circuit Court"
"C0209059","J0209","Circuit Court of the 3rd Judicial Circuit of Florida, Hamilton County","ST","Hamilton County Circuit Court"
"C0209060","J0209","Volusia County Judge's Court","ST","Volusia County Judge's Court"
"C0209061","J0209","Circuit Court of the 8th Judicial Circuit of Florida, Bradford County","ST","Bradford County Circuit Court"
"C0209062","J0209","Circuit Court of the 20th Judicial Circuit of Florida, Lee County","ST","Lee County Circuit Court"
"C0209063","J0209","Manatee County Court","ST","Manatee County Court"
"C0209064","J0209","Circuit Court of the 10th Judicial Circuit of Florida, Polk County","ST","Polk County Circuit Court"
"C0209065","J0209","Circuit Court of the 5th Judicial Circuit of Florida, Citrus County","ST","Citrus County Circuit Court"
"C0209066","J0209","Osceola County Court","ST","Osceola County Court"
"C0209067","J0209","Circuit Court of the 5th Judicial Circuit of Florida, Sumter County","ST","Sumter County Circuit Court"
"C0209068","J0209","Palm Beach County Civil and Criminal Court of Record","ST","Palm Beach County Court of Record"
"C0209069","J0209","Circuit Court of the 20th Judicial Circuit of Florida, Collier County","ST","Collier County Circuit Court"
"C0209070","J0209","Duval County Court","ST","Duval County Court"
"C0209071","J0209","St. Lucie County Small Claims Court","ST","St. Lucie County Small Claims Court"
"C0209072","J0209","Brevard County Court","ST","Brevard County Court"
"C0209073","J0209","Sarasota County Court","ST","Sarasota County Court"
"C0209074","J0209","St. Lucie County Court","ST","St. Lucie County Court"
"C0209075","J0209","Circuit Court of the 12th Judicial Circuit of Florida, De Soto County","ST","De Soto County Circuit Court"
"C0209076","J0209","Duval County Civil and Criminal Court of Record","ST","Duval County Court of Record"
"C0209077","J0209","Duval County Judge's Court","ST","Duval County Judge's Court"
"C0209078","J0209","Miami Circuit Court","ST","Miami Circuit Court"
"C0209079","J0209","Bay County Court","ST","Bay County Court"
"C0209080","J0209","Escambia County Civil and Criminal Court of Record","ST","Escambia County Court of Record"
"C0209081","J0209","Circuit Court of the 9th Judicial Circuit of Florida, Osceola County","ST","Osceola County Circuit Court"
"C0209082","J0209","Circuit Court of the 8th Judicial Circuit of Florida, Levy County","ST","Levy County Circuit Court"
"C0209083","J0209","Circuit Court of the 12th Judicial Circuit of Florida, Sarasota County","ST","Sarasota County Circuit Court"
"C0209084","J0209","Circuit Court of the 19th Judicial Circuit of Florida, Okeechobee County","ST","Okeechobee County Circuit Court"
"C0209085","J0209","Circuit Court of the 4th Judicial Circuit of Florida, Clay County","ST","Clay County Circuit Court"
"C0209086","J0209","Sarasota County Judge's Court","ST","Sarasota County Judge's Court"
"C0209087","J0209","Dade County Property Appraisal Adjustment Board","SS","Dade County Property Appraisal Adjustment Board"
"C0209088","J0209","Circuit Court of the 19th Judicial Circuit of Florida, Martin County","ST","Martin County Circuit Court"
"C0209089","J0209","Broward County Judge's Court","ST","Broward County Judge's Court"
"C0209090","J0209","Broward County Small Claims Court","ST","Broward County Small Claims Court"
"C0209091","J0209","Alachua County Court","ST","Alachua County Court"
"C0209092","J0209","Circuit Court of the 12th Judicial Circuit of Florida, Manatee County","ST","Manatee County Circuit Court"
"C0209093","J0209","Indian River County Court","ST","Indian River County Court"
"C0209094","J0209","Circuit Court of the 7th Judicial Circuit of Florida, Flagler County","ST","Flagler County Circuit Court"
"C0209095","J0209","Pinellas County Judge's Court","ST","Pinellas County Judge's Court"
"C0209096","J0209","Circuit Court of the 3rd Judicial Circuit of Florida, Columbia County","ST","Columbia County Circuit Court"
"C0209097","J0209","Circuit Court of the 8th Judicial Circuit of Florida, Union County","ST","Union County Circuit Court"
"C0209098","J0209","State of Florida Department of Revenue","SS","State of Florida Department of Revenue"
"C0209099","J0209","Circuit Court of the 3rd Judicial Circuit of Florida, Suwannee County","ST","Suwannee County Circuit Court"
"C0209100","J0209","Circuit Court of the 8th Judicial Circuit of Florida, Alachua County","ST","Alachua County Circuit Court"
